Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Luka Dončić,26,PG,38,38,1380,27.7,.614,.458,.509,2.7,21.7,12.4,42.0,2.0,1.3,13.4,37.8,4.3,1.4,5.6,.196,7.5,0.6,8.1,3.5,,doncilu01
2,Jake LaRavia,24,PF,46,25,1261,12.5,.574,.482,.269,6.5,11.2,8.9,10.0,2.4,1.6,12.1,14.8,1.2,1.0,2.2,.085,-1.1,0.0,-1.0,0.3,,laravja01
3,Deandre Ayton,27,C,41,41,1161,17.9,.668,.000,.186,10.5,24.2,17.5,4.5,1.1,3.2,12.8,17.5,1.9,1.1,3.1,.126,-0.3,-1.2,-1.5,0.2,,aytonde01
4,Rui Hachimura,27,PF,36,27,1084,11.3,.609,.441,.121,2.9,10.6,6.9,4.0,0.9,1.0,7.0,15.4,1.1,0.4,1.5,.065,-0.8,-2.1,-2.9,-0.3,,hachiru01
5,Marcus Smart,31,SG,37,30,1056,10.0,.558,.618,.280,3.0,9.6,6.4,12.7,2.3,1.2,16.1,16.1,0.2,0.7,1.0,.044,-2.8,-0.2,-3.0,-0.3,,smartma01
6,LeBron James,41,SF,29,29,962,20.8,.588,.285,.347,2.6,17.8,10.4,32.3,1.6,1.8,13.4,28.2,1.6,0.8,2.4,.119,3.5,-0.4,3.1,1.3,,jamesle01
7,Austin Reaves,27,SG,23,22,812,23.1,.666,.456,.528,2.4,14.6,8.6,28.0,1.3,0.6,14.0,28.6,2.7,0.4,3.1,.185,5.2,-1.1,4.1,1.3,,reaveau01
8,Jarred Vanderbilt,26,PF,37,3,720,11.2,.557,.412,.223,9.8,20.8,15.4,9.2,2.2,1.7,19.4,12.1,0.3,0.7,1.1,.071,-2.2,0.2,-2.0,0.0,,vandeja01
9,Jaxson Hayes,25,C,38,4,671,16.0,.766,.008,.531,9.5,16.5,13.1,6.4,0.9,3.4,11.2,11.5,1.8,0.5,2.3,.163,-0.4,-0.2,-0.6,0.2,,hayesja02
10,Gabe Vincent,29,PG,26,7,507,5.3,.509,.786,.094,1.7,4.0,2.9,8.5,1.1,0.2,8.3,11.4,0.1,0.1,0.2,.018,-4.0,-1.4,-5.3,-0.4,,vincega01
11,Dalton Knecht,24,SF,37,1,458,9.1,.550,.604,.104,2.9,11.5,7.3,4.0,0.9,1.9,9.0,16.8,0.0,0.2,0.2,.021,-2.4,-2.0,-4.4,-0.3,,knechda01
12,Nick Smith Jr.,21,SG,23,1,300,9.6,.543,.548,.089,0.8,6.1,3.5,13.1,1.3,0.6,12.3,21.2,-0.1,0.1,0.0,.000,-2.4,-2.6,-4.9,-0.2,,smithni01
13,Maxi Kleber,34,PF,21,1,239,6.0,.444,.425,.350,7.0,11.0,9.1,7.2,1.4,2.0,13.2,9.6,0.0,0.1,0.1,.028,-4.9,-0.5,-5.4,-0.2,,klebima01
14,Bronny James,21,SG,25,1,173,8.2,.490,.535,.047,2.8,5.3,4.1,20.2,2.8,0.5,21.5,14.0,-0.1,0.1,0.0,.013,-3.0,-0.6,-3.7,-0.1,,jamesbr02
15,Drew Timme,25,PF,13,0,104,16.7,.663,.375,.031,8.1,12.1,10.1,15.5,2.3,0.0,11.0,15.2,0.2,0.1,0.3,.141,1.5,-0.3,1.2,0.1,,timmedr01
16,Adou Thiero,21,SF,15,0,87,8.1,.465,.056,.444,9.7,14.4,12.1,7.3,2.8,1.1,15.7,12.7,0.0,0.1,0.1,.040,-5.9,-0.1,-6.1,-0.1,,thierad01
17,Kobe Bufkin,22,SG,4,0,45,9.1,.505,.636,.182,2.7,10.1,6.5,5.7,1.1,6.3,7.8,12.4,0.0,0.0,0.0,.043,-2.8,-1.6,-4.4,0.0,,bufkiko01
18,Chris Mañon,24,SG,4,0,14,7.3,.000,1.000,.000,8.6,16.3,12.5,0.0,3.5,13.5,0.0,3.1,0.0,0.0,0.0,.066,-5.6,5.0,-0.6,0.0,,manonch01
19,Christian Koloko,25,C,2,0,6,-0.4,,,,0.0,19.0,9.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.016,-6.5,-1.8,-8.3,0.0,,kolokch01
,Team Totals,,,46,46,11040,,.605,.405,.322,,,,,,,,,15.3,7.9,23.2,.101,0.4,-0.6,-0.2,5.0,,-9999
