RANK,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,RUSSELL WESTBROOK,LAL,33,44,19,25,4.1,2.0,0.8,1.8,43.0,0.1,0.3,20.0,0.4,0.6,64.0,0.3,0.6,1.0,0.7,0.4,0.1,0.0,0.7,4.1,19,9,-0.8
2,MALIK MONK,LAL,24,38,18,20,3.6,1.6,0.5,1.0,48.7,0.2,0.6,42.9,0.3,0.6,57.1,0.1,0.4,0.4,0.1,0.2,0.1,0.0,0.3,2.2,1,0,-0.1
3,CARMELO ANTHONY,LAL,38,32,13,19,3.8,1.4,0.4,1.1,41.2,0.3,0.7,43.5,0.2,0.3,77.8,0.1,0.4,0.5,0.0,0.1,0.1,0.1,0.2,2.7,1,0,-0.6
4,LEBRON JAMES,LAL,37,31,14,17,4.7,3.4,1.1,2.9,38.5,0.4,1.4,25.6,0.8,1.1,68.6,0.2,0.7,0.9,0.7,0.4,0.1,0.2,0.3,6.1,17,4,-0.9
5,AVERY BRADLEY,LAL,31,26,13,13,3.0,0.7,0.2,0.5,50.0,0.2,0.3,50.0,0.1,0.1,100,0.0,0.3,0.3,0.0,0.1,0.2,0.0,0.4,1.4,0,0,-0.8
6,AUSTIN REAVES,LAL,24,25,10,15,3.2,1.4,0.5,1.0,46.2,0.2,0.6,35.7,0.2,0.2,100,0.2,0.4,0.6,0.1,0.0,0.1,0.1,0.2,2.9,1,1,-1.0
7,STANLEY JOHNSON,LAL,26,24,9,15,1.8,0.4,0.1,0.2,75.0,0.0,0.0,100,0.1,0.1,100,0.1,0.1,0.3,0.1,0.0,0.1,0.0,0.1,1.0,0,0,-0.8
8,ANTHONY DAVIS,LAL,29,23,11,12,5.0,3.0,1.1,2.1,54.2,0.0,0.3,0.0,0.7,1.0,70.8,0.6,1.2,1.8,0.5,0.1,0.2,0.3,0.5,7.2,14,0,0.0
8,TALEN HORTON-TUCKER,LAL,21,23,10,13,2.2,0.3,0.1,0.4,30.0,0.0,0.1,0.0,0.0,0.1,33.3,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.3,0.5,1,0,0.0
10,WAYNE ELLINGTON,LAL,34,10,5,5,3.0,0.6,0.2,0.6,33.3,0.2,0.6,33.3,0.0,0.0,0.0,0.1,0.2,0.3,0.3,0.0,0.1,0.0,0.0,1.7,0,0,2.3
11,DWIGHT HOWARD,LAL,36,5,2,3,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,2,0,-1.4
11,KENT BAZEMORE,LAL,32,5,3,2,2.7,0.6,0.2,0.4,50.0,0.2,0.2,100,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.4,0.0,1.0,2.0,0,0,-0.4
13,WENYEN GABRIEL,LAL,25,4,3,1,3.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.8,0.3,0.0,0.0,0.3,0.8,2.0,1,0,3.8
14,D.J. AUGUSTIN,LAL,34,3,2,1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
14,RAJON RONDO,CLE,36,3,1,2,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,0.3,0.0,0.0,0.3,1.0,0,0,-1.7
14,TREVOR ARIZA,LAL,37,3,1,2,3.7,2.0,0.7,1.0,66.7,0.3,0.7,50.0,0.3,0.7,50.0,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.0,3.3,0,0,1.0
17,ISAIAH THOMAS,CHA,33,1,0,1,2.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.0
17,MAC MCCLUNG,LAL,23,1,1,0,5.9,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0,0,10.0
17,MASON JONES,LAL,23,1,1,0,5.9,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,100,0.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,8.3,0,0,10.0
