Season,Rank,Player,Salary
2025-26,1,LeBron James,"$52,627,153"
2025-26,2,Luka Dončić,"$45,999,660"
2025-26,3,Rui Hachimura,"$18,259,259"
2025-26,4,Austin Reaves,"$13,937,574"
2025-26,5,Jarred Vanderbilt,"$11,571,429"
2025-26,6,Gabe Vincent,"$11,500,000"
2025-26,7,Maxi Kleber,"$11,000,000"
2025-26,8,Deandre Ayton,"$8,104,000"
2025-26,9,Jake LaRavia,"$6,000,000"
2025-26,10,Marcus Smart,"$5,134,000"
2025-26,11,Dalton Knecht,"$4,010,160"
2025-26,12,Jaxson Hayes,"$3,449,323"
2025-26,13,Shake Milton,"$3,000,000"
2025-26,14,Bronny James,"$1,955,377"
2025-26,15,Adou Thiero,"$1,272,870"
2024-25,1,LeBron James,"$48,728,845"
2024-25,2,Luka Dončić,"$43,031,940"
2024-25,3,Rui Hachimura,"$17,000,000"
2024-25,4,Dorian Finney-Smith,"$14,924,167"
2024-25,5,Austin Reaves,"$12,976,362"
2024-25,6,Maxi Kleber,"$11,000,000"
2024-25,7,Gabe Vincent,"$11,000,000"
2024-25,8,Jarred Vanderbilt,"$10,714,286"
2024-25,9,Dalton Knecht,"$3,819,120"
2024-25,10,Christian Wood,"$3,036,040"
2024-25,11,Shake Milton,"$2,875,000"
2024-25,12,Jaxson Hayes,"$2,463,946"
2024-25,13,Cam Reddish,"$2,463,946"
2024-25,14,Markieff Morris,"$2,087,519"
2024-25,15,Bronny James,"$1,157,153"
2023-24,1,LeBron James,"$47,607,350"
2023-24,2,Anthony Davis,"$40,600,080"
2023-24,3,D'Angelo Russell,"$17,307,693"
2023-24,4,Rui Hachimura,"$15,740,741"
2023-24,5,Austin Reaves,"$12,015,150"
2023-24,6,Gabe Vincent,"$10,500,000"
2023-24,7,Jarred Vanderbilt,"$4,698,000"
2023-24,8,Taurean Prince,"$4,516,000"
2023-24,9,Jalen Hood-Schifino,"$3,695,040"
2023-24,10,Christian Wood,"$2,709,849"
2023-24,11,Jaxson Hayes,"$2,165,000"
2023-24,12,Cam Reddish,"$2,165,000"
2023-24,13,Max Christie,"$1,719,864"
2023-24,14,Spencer Dinwiddie,"$1,554,654"
2023-24,15,Maxwell Lewis,"$1,119,563"
2022-23,1,LeBron James,"$44,474,988"
2022-23,2,Anthony Davis,"$37,980,720"
2022-23,3,D'Angelo Russell,"$31,377,750"
2022-23,4,Malik Beasley,"$15,558,035"
2022-23,5,Mohamed Bamba,"$10,300,000"
2022-23,6,Lonnie Walker,"$6,479,000"
2022-23,7,Rui Hachimura,"$6,263,188"
2022-23,8,Jarred Vanderbilt,"$4,374,000"
2022-23,9,Davon Reed,"$1,902,133"
2022-23,10,Wenyen Gabriel,"$1,878,720"
2022-23,11,Troy Brown,"$1,836,090"
2022-23,12,Dennis Schröder,"$1,836,090"
2022-23,13,Austin Reaves,"$1,563,518"
2022-23,14,Max Christie,"$1,017,781"
2022-23,15,Matt Ryan,"$442,439"
2021-22,1,Russell Westbrook,"$44,211,146"
2021-22,2,LeBron James,"$41,180,544"
2021-22,3,Anthony Davis,"$35,361,360"
2021-22,4,Talen Horton-Tucker,"$9,500,000"
2021-22,5,Kendrick Nunn,"$5,000,000"
2021-22,6,Luol Deng,"$5,000,000"
2021-22,7,Dwight Howard,"$2,641,691"
2021-22,8,DeAndre Jordan,"$2,641,691"
2021-22,9,Carmelo Anthony,"$2,641,691"
2021-22,10,Wayne Ellington,"$2,641,691"
2021-22,11,Avery Bradley,"$2,641,691"
2021-22,12,Trevor Ariza,"$2,641,691"
2021-22,13,Kent Bazemore,"$2,401,537"
2021-22,14,Malik Monk,"$1,789,256"
2021-22,15,Stanley Johnson,"$1,248,865"
2021-22,16,Austin Reaves,"$925,258"
2021-22,17,D.J. Augustin,"$622,467"
2021-22,18,Darren Collison,"$151,821"
2021-22,19,Isaiah Thomas,"$138,019"
2021-22,20,Jemerrio Jones,"$85,578"
2021-22,21,Wenyen Gabriel,"$29,814"
2021-22,22,Sekou Doumbouya,"$0"
2021-22,23,Chaundee Brown,"$0"
2021-22,24,Jay Huff,"$0"
2021-22,25,Mason Jones,"$0"
2021-22,26,Mac McClung,"$0"
