year,origin,import_volume,import_value,mfn_rate,additional_rate,production,ending_stocks,futures_price,us_fob,br_fob,ar_fob,rmb_usd,usd_brl,usd_ars,cif_price,total_tariff,cif_tax_price,unit_value,lag_import,lag_price
2017,Argentina,6580000,2683449005.0,0.03,0.25,55000000,26996000,359.39,977.18,322.33,364.76,6.76,3.19,17.72,364.76,0.28,444.736,407.81899772036473,6580000.0,364.76
2018,Argentina,1460000,621202902.0,0.03,0.25,37800000,23734000,347.45,938.18,325.51,318.24,6.63,3.87,37.49,318.24,0.28,444.736,425.4814397260274,6580000.0,364.76
2019,Argentina,8800000,3577309544.0,0.03,0.25,55300000,28871000,326.65,898.23,341.52,357.61,6.91,4.04,63.01,357.61,0.28,444.736,406.5124481818182,1460000.0,318.24
2020,Argentina,6580000,2896937570.0,0.03,0.25,48800000,26529000,353.13,960.51,354.51,346.09,6.9,5.16,85.49,346.09,0.28,444.736,440.26406838905774,8800000.0,357.61
2021,Argentina,3750000,2130194323.0,0.03,0.25,46200000,24838000,510.78,1384.24,366.7,339.01,6.45,5.4,105.83,339.01,0.28,444.736,568.0518194666666,6580000.0,346.09
2022,Argentina,3650000,2334274372.0,0.03,0.25,43900000,23691000,577.95,1509.24,360.92,369.24,6.73,5.16,169.15,369.24,0.28,444.736,639.5272252054795,3750000.0,339.01
2023,Argentina,1990000,1217710188.0,0.03,0.25,25000000,16997000,520.78,1395.71,374.78,330.18,7.09,4.99,371.66,330.18,0.28,444.736,611.9146673366835,3650000.0,369.24
2024,Argentina,4100000,2082480281.0,0.03,0.25,48210000,24047000,409.13,1092.29,385.15,356.43,7.19,5.39,1030.78,356.43,0.28,444.736,507.92201975609754,1990000.0,330.18
2025,Argentina,7600000,1972941371.0,0.03,0.25,51108000,23102000,359.39,977.18,322.33,364.76,7.21,5.3,1350.0,322.33,0.28,444.736,259.5975488157895,4100000.0,356.43
2017,Brazil,50930000,20916040906.0,0.03,0.25,114900000,32632000,359.39,977.18,322.33,364.76,6.76,3.19,17.72,322.33,0.28,444.736,410.6821304928333,50930000.0,322.33
2018,Brazil,66100000,28842575657.0,0.03,0.25,123400000,33031000,347.45,938.18,325.51,318.24,6.63,3.87,37.49,325.51,0.28,444.736,436.3475893645991,50930000.0,322.33
2019,Brazil,57670000,22999907858.0,0.03,0.25,120500000,33357000,326.65,898.23,341.52,357.61,6.91,4.04,63.01,341.52,0.28,444.736,398.81927966013524,66100000.0,325.51
2020,Brazil,64280000,24905769538.0,0.03,0.25,128500000,20435000,353.13,960.51,354.51,346.09,6.9,5.16,85.49,354.51,0.28,444.736,387.4575223708774,57670000.0,341.52
2021,Brazil,58150000,33084983329.0,0.03,0.25,139500000,29427000,510.78,1384.24,366.7,339.01,6.45,5.4,105.83,366.7,0.28,444.736,568.9593005846948,64280000.0,354.51
2022,Brazil,54400000,37301387864.0,0.03,0.25,130500000,27386000,577.95,1509.24,360.92,369.24,6.73,5.16,169.15,360.92,0.28,444.736,685.6872769117647,58150000.0,366.7
2023,Brazil,69950000,40936613438.0,0.03,0.25,162000000,36801000,520.78,1395.71,374.78,330.18,7.09,4.99,371.66,374.78,0.28,444.736,585.2267825303788,54400000.0,360.92
2024,Brazil,74500000,36455784932.0,0.03,0.25,154500000,29722000,409.13,1092.29,385.15,356.43,7.19,5.39,1030.78,385.15,0.28,444.736,489.3393950604027,69950000.0,374.78
2025,Brazil,79000000,31367338787.0,0.03,0.25,171500000,36811000,359.39,977.18,322.33,364.76,7.21,5.3,1350.0,359.39,0.28,444.736,397.0549213544304,74500000.0,385.15
2017,United States,32860000,13940603834.0,0.03,0.25,116931000,8208000,359.39,977.18,322.33,364.76,6.76,3.19,17.72,359.39,0.28,444.736,424.24235648204507,32860000.0,359.39
2018,United States,16640000,7061192629.0,0.03,0.25,120065000,11923000,347.45,938.18,325.51,318.24,6.63,3.87,37.49,347.45,0.28,444.736,424.35051856971154,32860000.0,359.39
2019,United States,16940000,6682215259.0,0.03,0.2775,120515000,25176000,326.65,898.23,341.52,357.61,6.91,4.04,63.01,326.65,0.3075,427.094875,394.46371068476975,16640000.0,347.45
2020,United States,25880000,10640462338.0,0.03,0.125,96644000,14657000,353.13,960.51,354.51,346.09,6.9,5.16,85.49,353.13,0.155,407.86515,411.14614907264297,16940000.0,326.65
2021,United States,32300000,16550482486.0,0.03,0.125,114749000,6994000,510.78,1384.24,366.7,339.01,6.45,5.4,105.83,510.78,0.155,589.9508999999999,512.3988385758514,25880000.0,353.13
2022,United States,29500000,18034291858.0,0.03,0.125,121504000,7468000,577.95,1509.24,360.92,369.24,6.73,5.16,169.15,577.95,0.155,667.5322500000001,611.3319273898305,32300000.0,510.78
2023,United States,24170000,15124061473.0,0.03,0.125,116221000,7190000,520.78,1395.71,374.78,330.18,7.09,4.99,371.66,520.78,0.155,601.5009,625.7369248241622,29500000.0,577.95
2024,United States,22500000,12040339330.0,0.03,0.075,113273000,9319000,409.13,1092.29,385.15,356.43,7.19,5.39,1030.78,409.13,0.105,452.08865,535.1261924444444,24170000.0,520.78
2025,United States,16800000,7725259721.0,0.03,0.165,119047000,8614000,409.13,1092.29,385.15,356.43,7.21,5.3,1350.0,409.13,0.195,452.08865,459.8368881547619,22500000.0,409.13
