数据年月,贸易伙伴名称,美元
201801,巴西,133896821.0
201801,巴西,26944163.0
201801,巴西,27658151.0
201801,巴西,26252253.0
201801,巴西,206602705.0
201801,巴西,150251799.0
201801,巴西,40197181.0
201801,巴西,60542797.0
201801,巴西,18682367.0
201801,巴西,46806216.0
201801,巴西,51759146.0
201801,巴西,19215721.0
201801,巴西,12335400.0
201801,巴西,28673842.0
201801,巴西,10139318.0
201801,巴西,7631858.0
201802,巴西,135398249.0
201802,巴西,27656413.0
201802,巴西,100737224.0
201802,巴西,164436141.0
201802,巴西,20464737.0
201802,巴西,27142553.0
201802,巴西,8976212.0
201802,巴西,28099718.0
201802,巴西,17130042.0
201802,巴西,136496176.0
201802,巴西,34280267.0
201802,巴西,29358524.0
201802,巴西,93440.0
201803,巴西,81591420.0
201803,巴西,58311887.0
201803,巴西,183380453.0
201803,巴西,198406088.0
201803,巴西,65181295.0
201803,巴西,55839418.0
201803,巴西,81324143.0
201803,巴西,8569255.0
201803,巴西,47633590.0
201803,巴西,44564946.0
201803,巴西,3293763.0
201803,巴西,41913115.0
201803,巴西,11887058.0
201803,巴西,5460000.0
201803,巴西,30248604.0
201803,巴西,13004100.0
201803,巴西,13701607.0
201803,巴西,28039756.0
201803,巴西,28731178.0
201804,巴西,133135205.0
201804,巴西,27308295.0
201804,巴西,39261479.0
201804,巴西,85619601.0
201804,巴西,28340376.0
201804,巴西,83948217.0
201804,巴西,173561112.0
201804,巴西,555433632.0
201804,巴西,6671250.0
201804,巴西,132092387.0
201804,巴西,121255023.0
201804,巴西,7538255.0
201804,巴西,28294742.0
201804,巴西,83031904.0
201804,巴西,56292487.0
201804,巴西,66565944.0
201804,巴西,57833519.0
201804,巴西,13177907.0
201804,巴西,7458281.0
201804,巴西,8987200.0
201804,巴西,57886225.0
201804,巴西,40400717.0
201804,巴西,10563036.0
201804,巴西,3080891.0
201804,巴西,17642543.0
201804,巴西,53861179.0
201804,巴西,58488.0
201805,巴西,582567311.0
201805,巴西,149125615.0
201805,巴西,295391479.0
201805,巴西,93254534.0
201805,巴西,57394635.0
201805,巴西,73423824.0
201805,巴西,433764484.0
201805,巴西,783354817.0
201805,巴西,67731120.0
201805,巴西,238463764.0
201805,巴西,415038055.0
201805,巴西,88397652.0
201805,巴西,12838411.0
201805,巴西,99297034.0
201805,巴西,282089330.0
201805,巴西,20877980.0
201805,巴西,48852126.0
201805,巴西,25083067.0
201805,巴西,15495896.0
201805,巴西,14951639.0
201805,巴西,4570700.0
201805,巴西,8861800.0
201805,巴西,31554649.0
201805,巴西,11106300.0
201805,巴西,10493868.0
201805,巴西,17358471.0
201805,巴西,21333504.0
201805,巴西,12717844.0
201805,巴西,58113820.0
201806,巴西,427480071.0
201806,巴西,81861624.0
201806,巴西,155078992.0
201806,巴西,123454679.0
201806,巴西,61804910.0
201806,巴西,26858536.0
201806,巴西,443606419.0
201806,巴西,763425765.0
201806,巴西,60999625.0
201806,巴西,203034461.0
201806,巴西,320541003.0
201806,巴西,45299552.0
201806,巴西,23293432.0
201806,巴西,192213987.0
201806,巴西,213151783.0
201806,巴西,55076553.0
201806,巴西,17982800.0
201806,巴西,59499362.0
201806,巴西,9161200.0
201806,巴西,18877574.0
201806,巴西,3755191.0
201806,巴西,9052000.0
201806,巴西,11565101.0
201806,巴西,14436900.0
201806,巴西,14845380.0
201806,巴西,20003031.0
201806,巴西,16077659.0
201806,巴西,42372730.0
201806,巴西,8818246.0
201806,巴西,62279092.0
201806,巴西,46059.0
201807,巴西,479971326.0
201807,巴西,158583927.0
201807,巴西,199385397.0
201807,巴西,53335050.0
201807,巴西,300463343.0
201807,巴西,735572754.0
201807,巴西,74147180.0
201807,巴西,25963209.0
201807,巴西,128861130.0
201807,巴西,308914714.0
201807,巴西,43612485.0
201807,巴西,18565205.0
201807,巴西,8566728.0
201807,巴西,129820480.0
201807,巴西,246115640.0
201807,巴西,24965136.0
201807,巴西,24313012.0
201807,巴西,24073368.0
201807,巴西,22069418.0
201807,巴西,6640987.0
201807,巴西,6371700.0
201807,巴西,16239789.0
201807,巴西,8665360.0
201807,巴西,22144500.0
201807,巴西,16713104.0
201807,巴西,5348817.0
201807,巴西,56224923.0
201808,巴西,541004766.0
201808,巴西,155522942.0
201808,巴西,61197072.0
201808,巴西,29037199.0
201808,巴西,513812660.0
201808,巴西,498279335.0
201808,巴西,92059856.0
201808,巴西,7969000.0
201808,巴西,154518111.0
201808,巴西,430909396.0
201808,巴西,62813847.0
201808,巴西,8893200.0
201808,巴西,13307969.0
201808,巴西,180011209.0
201808,巴西,330610864.0
201808,巴西,40309441.0
201808,巴西,40029884.0
201808,巴西,84498384.0
201808,巴西,35228639.0
201808,巴西,26638461.0
201808,巴西,24753687.0
201808,巴西,11577800.0
201808,巴西,15563600.0
201808,巴西,11731800.0
201808,巴西,628120.0
201808,巴西,4874521.0
201808,巴西,14186273.0
