数据年月,贸易伙伴名称,美元
202201,阿根廷,73261606.0
202206,阿根廷,337.0
202207,阿根廷,27224918.0
202207,阿根廷,48894730.0
202207,阿根廷,19359475.0
202208,阿根廷,99049402.0
202208,阿根廷,14196125.0
202208,阿根廷,10628817.0
202208,阿根廷,21339000.0
202209,阿根廷,51536501.0
202209,阿根廷,46707282.0
202209,阿根廷,41752187.0
202209,阿根廷,22107677.0
202209,阿根廷,49439424.0
202209,阿根廷,19179639.0
202209,阿根廷,19253607.0
202210,阿根廷,1669862.0
202210,阿根廷,47842853.0
202210,阿根廷,34280108.0
202210,阿根廷,9814223.0
202210,阿根廷,9483444.0
202211,阿根廷,46562734.0
202211,阿根廷,68602926.0
202211,阿根廷,24941116.0
202211,阿根廷,104202721.0
202211,阿根廷,152544917.0
202211,阿根廷,20105323.0
202211,阿根廷,16218500.0
202211,阿根廷,12789374.0
202211,阿根廷,89459870.0
202211,阿根廷,8725151.0
202211,阿根廷,34161347.0
202211,阿根廷,95014058.0
202211,阿根廷,26828303.0
202211,阿根廷,19113414.0
202211,阿根廷,13132800.0
202212,阿根廷,128708217.0
202212,阿根廷,45478335.0
202212,阿根廷,91959258.0
202212,阿根廷,120539478.0
202212,阿根廷,204025988.0
202212,阿根廷,10164554.0
202212,阿根廷,43631740.0
202212,阿根廷,16669868.0
202212,阿根廷,42077487.0
202212,阿根廷,16468505.0
202212,阿根廷,27538102.0
202212,阿根廷,20030591.0
202212,阿根廷,54952760.0
202212,阿根廷,21790503.0
202212,阿根廷,11725473.0
202212,阿根廷,17613972.0
202212,阿根廷,61475770.0
