数据年月,贸易伙伴名称,美元
201701,美国,369210246.0
201701,美国,203308019.0
201701,美国,78799043.0
201701,美国,119527028.0
201701,美国,250862564.0
201701,美国,611624465.0
201701,美国,35680919.0
201701,美国,6030840.0
201701,美国,151645331.0
201701,美国,229856.0
201701,美国,496174202.0
201701,美国,83417045.0
201701,美国,10214180.0
201701,美国,51238541.0
201701,美国,253524733.0
201701,美国,8645391.0
201701,美国,22935343.0
201701,美国,49162171.0
201701,美国,8912378.0
201701,美国,216480.0
201701,美国,30514763.0
201701,美国,880060.0
201701,美国,1444741.0
201701,美国,4391574.0
201701,美国,29660586.0
201701,美国,63324521.0
201701,美国,21470.0
201701,美国,37644.0
201702,美国,263941373.0
201702,美国,146665208.0
201702,美国,89162572.0
201702,美国,16300792.0
201702,美国,204551470.0
201702,美国,230318602.0
201702,美国,22015064.0
201702,美国,34958273.0
201702,美国,104089240.0
201702,美国,325689483.0
201702,美国,22077880.0
201702,美国,17918306.0
201702,美国,49706421.0
201702,美国,227569136.0
201702,美国,23077237.0
201702,美国,31245764.0
201702,美国,9063413.0
201702,美国,9232073.0
201702,美国,30544001.0
201702,美国,1901957.0
201702,美国,41910975.0
201702,美国,31875.0
201702,美国,15006373.0
201703,美国,72227967.0
201703,美国,184044983.0
201703,美国,32608843.0
201703,美国,5052790.0
201703,美国,212740141.0
201703,美国,220532426.0
201703,美国,74072981.0
201703,美国,37103621.0
201703,美国,107045940.0
201703,美国,381792196.0
201703,美国,64851292.0
201703,美国,31543343.0
201703,美国,567303.0
201703,美国,107729688.0
201703,美国,180862202.0
201703,美国,13898727.0
201703,美国,22445288.0
201703,美国,20920603.0
201703,美国,324720.0
201703,美国,7794799.0
201703,美国,4919218.0
201703,美国,15332433.0
201703,美国,27384729.0
201703,美国,842.0
201704,美国,31754052.0
201704,美国,165418222.0
201704,美国,1571250.0
201704,美国,24364768.0
201704,美国,83290844.0
201704,美国,37594444.0
201704,美国,4231624.0
201704,美国,60239096.0
201704,美国,228216.0
201704,美国,191157277.0
201704,美国,13813517.0
201704,美国,170648.0
201704,美国,28877718.0
201704,美国,87765375.0
201704,美国,13033125.0
201704,美国,6138930.0
201704,美国,11762502.0
201705,美国,29486137.0
201705,美国,13558243.0
201705,美国,213522223.0
201705,美国,2518547.0
201705,美国,8750025.0
201705,美国,24214624.0
201705,美国,12443743.0
201705,美国,23216167.0
201705,美国,59662950.0
201705,美国,95938878.0
201705,美国,15994669.0
201705,美国,26434464.0
201705,美国,993454.0
201705,美国,48149919.0
201705,美国,8549094.0
201705,美国,360800.0
201705,美国,27775222.0
201705,美国,106.0
201706,美国,1727128.0
201706,美国,28855006.0
201706,美国,2286499.0
201706,美国,1600695.0
201706,美国,3407743.0
201706,美国,6294684.0
201706,美国,26345789.0
201706,美国,7735564.0
201706,美国,859293.0
201706,美国,12474630.0
201706,美国,211486.0
201706,美国,1195781.0
201706,美国,31412720.0
201706,美国,15961868.0
201706,美国,172.0
201706,美国,15674892.0
201707,美国,3338502.0
201707,美国,2264526.0
201707,美国,25272461.0
201707,美国,5841694.0
201707,美国,53854847.0
201707,美国,2591960.0
201707,美国,50066277.0
201707,美国,25996883.0
201707,美国,683970.0
201707,美国,25509093.0
201707,美国,3990467.0
201707,美国,196.0
201707,美国,550.0
201708,美国,2765024.0
201708,美国,2306991.0
201708,美国,38719678.0
201708,美国,3206795.0
201708,美国,919050.0
201708,美国,6068168.0
201708,美国,14198023.0
201708,美国,3925305.0
201708,美国,216468.0
201708,美国,583571.0
201708,美国,82.0
201709,美国,90042546.0
201709,美国,12080759.0
201709,美国,30667939.0
201709,美国,79427748.0
201709,美国,326657.0
201709,美国,56487638.0
201709,美国,20422073.0
201709,美国,4071800.0
201709,美国,19805014.0
201709,美国,26984609.0
201709,美国,11346778.0
201709,美国,11835421.0
201709,美国,7384959.0
201709,美国,11447673.0
201710,美国,109893585.0
201710,美国,30326848.0
201710,美国,151646131.0
201710,美国,414507.0
201710,美国,372130.0
201710,美国,9634454.0
201710,美国,82042352.0
201710,美国,28707989.0
201710,美国,9903730.0
201710,美国,50015017.0
201710,美国,8198000.0
201710,美国,12507564.0
201710,美国,10247500.0
201710,美国,5617033.0
201710,美国,8461200.0
201710,美国,10440182.0
201710,美国,6891345.0
201710,美国,12078903.0
201711,美国,100835043.0
201711,美国,154962861.0
201711,美国,27159161.0
201711,美国,16767132.0
201711,美国,319808567.0
201711,美国,288385314.0
201711,美国,43694017.0
201711,美国,38063478.0
201711,美国,94324035.0
201711,美国,352608372.0
201711,美国,96082145.0
201711,美国,20271512.0
201711,美国,78614618.0
201711,美国,130414881.0
201711,美国,55595316.0
201711,美国,23099260.0
201711,美国,15738674.0
201711,美国,28438040.0
201711,美国,4190800.0
201711,美国,270600.0
201711,美国,20433105.0
201711,美国,8633200.0
201711,美国,33.0
201711,美国,14992086.0
201711,美国,8418218.0
201712,美国,369389533.0
201712,美国,79640424.0
201712,美国,54903491.0
201712,美国,27488465.0
201712,美国,147935470.0
201712,美国,390639409.0
201712,美国,533639219.0
201712,美国,25673882.0
201712,美国,7832671.0
201712,美国,143543292.0
201712,美国,327921593.0
201712,美国,29271906.0
201712,美国,30566521.0
201712,美国,943363.0
201712,美国,75866568.0
201712,美国,197010458.0
201712,美国,47669115.0
201712,美国,13238550.0
201712,美国,14205334.0
201712,美国,22551119.0
201712,美国,5561563.0
201712,美国,9225435.0
201712,美国,28601800.0
