数据年月,贸易伙伴名称,美元
201701,阿根廷,28399250.0
201703,阿根廷,4242992.0
201704,阿根廷,23760756.0
201705,阿根廷,26605306.0
201706,阿根廷,221063614.0
201706,阿根廷,42914412.0
201706,阿根廷,16433558.0
201706,阿根廷,9871474.0
201706,阿根廷,16852.0
201707,阿根廷,267902432.0
201707,阿根廷,27968949.0
201707,阿根廷,112786276.0
201707,阿根廷,4439089.0
201707,阿根廷,73522125.0
201707,阿根廷,54890546.0
201707,阿根廷,28716206.0
201707,阿根廷,25048756.0
201708,阿根廷,289577889.0
201708,阿根廷,34397798.0
201708,阿根廷,69839893.0
201708,阿根廷,7835133.0
201708,阿根廷,22180191.0
201708,阿根廷,12280502.0
201708,阿根廷,71797332.0
201708,阿根廷,8630456.0
201708,阿根廷,26602621.0
201708,阿根廷,18965441.0
201709,阿根廷,192418870.0
201709,阿根廷,34179785.0
201709,阿根廷,30034133.0
201709,阿根廷,38634664.0
201710,阿根廷,62549475.0
201710,阿根廷,12372801.0
201710,阿根廷,17059390.0
201710,阿根廷,27157812.0
201710,阿根廷,24189027.0
201710,阿根廷,5973750.0
201710,阿根廷,24859451.0
201710,阿根廷,38215460.0
201710,阿根廷,10527826.0
201710,阿根廷,27281938.0
201710,阿根廷,27157056.0
201710,阿根廷,11265751.0
201710,阿根廷,12100250.0
201710,阿根廷,4105600.0
201710,阿根廷,2037226.0
201710,阿根廷,9637625.0
201711,阿根廷,12607137.0
201711,阿根廷,57255020.0
201711,阿根廷,103323534.0
201711,阿根廷,8014661.0
201711,阿根廷,8479000.0
201711,阿根廷,8333800.0
201711,阿根廷,5304787.0
201711,阿根廷,6017550.0
201711,阿根廷,23994897.0
201711,阿根廷,25175715.0
201711,阿根廷,4178400.0
201711,阿根廷,10745386.0
201712,阿根廷,54972103.0
201712,阿根廷,84365709.0
201712,阿根廷,29987165.0
201712,阿根廷,13371477.0
201712,阿根廷,84874925.0
