数据年月,贸易伙伴名称,美元
202301,巴西,44565627.0
202301,巴西,80562056.0
202301,巴西,45702232.0
202301,巴西,46389213.0
202301,巴西,47289552.0
202301,巴西,259875123.0
202301,巴西,76475259.0
202301,巴西,180647329.0
202301,巴西,219725036.0
202301,巴西,45928648.0
202301,巴西,47524241.0
202301,巴西,47874614.0
202301,巴西,41150242.0
202301,巴西,14215843.0
202301,巴西,33018444.0
202302,巴西,92762814.0
202302,巴西,79728481.0
202302,巴西,43119201.0
202302,巴西,18751246.0
202302,巴西,46253501.0
202303,巴西,125640527.0
202303,巴西,69856678.0
202303,巴西,117934608.0
202303,巴西,187568513.0
202303,巴西,40569338.0
202303,巴西,232869989.0
202303,巴西,3033470.0
202303,巴西,45936184.0
202303,巴西,86271076.0
202303,巴西,88308464.0
202303,巴西,33541783.0
202303,巴西,44205768.0
202303,巴西,21131334.0
202304,巴西,178913885.0
202304,巴西,141205036.0
202304,巴西,173906614.0
202304,巴西,45973375.0
202304,巴西,448688396.0
202304,巴西,1033296468.0
202304,巴西,111832487.0
202304,巴西,12416362.0
202304,巴西,178747744.0
202304,巴西,14711215.0
202304,巴西,312342075.0
202304,巴西,9086739.0
202304,巴西,45138280.0
202304,巴西,221140303.0
202304,巴西,30155643.0
202304,巴西,69037193.0
202304,巴西,77160401.0
202304,巴西,35415729.0
202304,巴西,55192642.0
202304,巴西,142391015.0
202305,巴西,86116485.0
202305,巴西,190503948.0
202305,巴西,555183940.0
202305,巴西,41821824.0
202305,巴西,417777543.0
202305,巴西,42982017.0
202305,巴西,213674701.0
202305,巴西,899019133.0
202305,巴西,1526054072.0
202305,巴西,125513553.0
202305,巴西,29915867.0
202305,巴西,293553162.0
202305,巴西,15877746.0
202305,巴西,781206586.0
202305,巴西,94502485.0
202305,巴西,24390336.0
202305,巴西,147663376.0
202305,巴西,348426387.0
202305,巴西,287158622.0
202305,巴西,44421418.0
202305,巴西,36909908.0
202305,巴西,31293545.0
202305,巴西,110867734.0
202305,巴西,112364083.0
202305,巴西,5308632.0
202305,巴西,23980000.0
202305,巴西,18428700.0
202305,巴西,13780493.0
202305,巴西,38386240.0
202305,巴西,14700717.0
202305,巴西,74341872.0
202305,巴西,38503661.0
202306,巴西,38203311.0
202306,巴西,232320583.0
202306,巴西,390257467.0
202306,巴西,231728179.0
202306,巴西,78935136.0
202306,巴西,99024268.0
202306,巴西,579552198.0
202306,巴西,1608576878.0
202306,巴西,254820355.0
202306,巴西,26300326.0
202306,巴西,329551138.0
202306,巴西,29470897.0
202306,巴西,583299215.0
202306,巴西,58528656.0
202306,巴西,29711203.0
202306,巴西,214801601.0
202306,巴西,199731242.0
202306,巴西,276960050.0
202306,巴西,12671081.0
202306,巴西,55465523.0
202306,巴西,118498353.0
202306,巴西,9410642.0
202306,巴西,21038246.0
202306,巴西,12557999.0
202306,巴西,49640963.0
202306,巴西,36485669.0
202306,巴西,19998246.0
202307,巴西,117157588.0
202307,巴西,363231819.0
202307,巴西,239071121.0
202307,巴西,114511951.0
202307,巴西,94924873.0
202307,巴西,716418069.0
202307,巴西,1184077728.0
202307,巴西,118987686.0
202307,巴西,15749318.0
202307,巴西,320811942.0
202307,巴西,50028011.0
202307,巴西,540378987.0
202307,巴西,19156613.0
202307,巴西,10431664.0
202307,巴西,227823585.0
202307,巴西,231947529.0
202307,巴西,379026988.0
202307,巴西,43681583.0
202307,巴西,54339831.0
202307,巴西,27061631.0
202307,巴西,109091852.0
202307,巴西,93281027.0
202307,巴西,29366919.0
202307,巴西,15172675.0
202307,巴西,9677319.0
202307,巴西,9782365.0
202307,巴西,42824402.0
202307,巴西,6967447.0
202308,巴西,258038173.0
202308,巴西,312467928.0
202308,巴西,325466581.0
202308,巴西,110016111.0
202308,巴西,167271647.0
202308,巴西,520748663.0
202308,巴西,1046422459.0
202308,巴西,136475776.0
202308,巴西,30079694.0
202308,巴西,293238610.0
202308,巴西,27782263.0
202308,巴西,584827077.0
202308,巴西,32029080.0
202308,巴西,22251116.0
202308,巴西,206623661.0
202308,巴西,239306545.0
202308,巴西,411392723.0
202308,巴西,31866639.0
202308,巴西,25386765.0
202308,巴西,53970544.0
202308,巴西,72147550.0
202308,巴西,26749620.0
202308,巴西,5522800.0
202308,巴西,15952446.0
202308,巴西,13506611.0
202308,巴西,23030413.0
202308,巴西,19862729.0
202308,巴西,34836759.0
202309,巴西,72660759.0
202309,巴西,429174413.0
202309,巴西,225285683.0
202309,巴西,195235914.0
202309,巴西,39828457.0
202309,巴西,72509110.0
202309,巴西,538642006.0
202309,巴西,405944443.0
202309,巴西,225348552.0
202309,巴西,22530146.0
202309,巴西,305924476.0
202309,巴西,11661122.0
202309,巴西,401330018.0
202309,巴西,25419936.0
202309,巴西,14898225.0
202309,巴西,181793532.0
202309,巴西,83617719.0
202309,巴西,301747989.0
202309,巴西,11510967.0
202309,巴西,50053411.0
202309,巴西,107129646.0
202309,巴西,37704140.0
202309,巴西,35859483.0
202309,巴西,1286857.0
202309,巴西,33002924.0
202309,巴西,52064855.0
202310,巴西,16071617.0
202310,巴西,251018037.0
202310,巴西,200971737.0
202310,巴西,98865990.0
202310,巴西,37887316.0
202310,巴西,125183877.0
202310,巴西,642991206.0
202310,巴西,474214263.0
202310,巴西,111410346.0
202310,巴西,231051507.0
202310,巴西,101057450.0
202310,巴西,55611575.0
202310,巴西,206949742.0
202310,巴西,9085702.0
202310,巴西,6004605.0
202310,巴西,59395940.0
202310,巴西,11408127.0
202310,巴西,12787873.0
202310,巴西,39085569.0
202310,巴西,51347352.0
202311,巴西,289439582.0
202311,巴西,249233194.0
202311,巴西,142084422.0
202311,巴西,77757199.0
202311,巴西,435983631.0
202311,巴西,379520484.0
202311,巴西,111604780.0
202311,巴西,5812670.0
202311,巴西,113425735.0
202311,巴西,356509721.0
202311,巴西,5812670.0
202311,巴西,95086891.0
202311,巴西,145748514.0
202311,巴西,237383457.0
202311,巴西,34728701.0
202311,巴西,8748462.0
202311,巴西,98777980.0
202311,巴西,117171667.0
202311,巴西,17332326.0
202311,巴西,11610428.0
202311,巴西,5696993.0
202311,巴西,76146095.0
202312,巴西,229801241.0
202312,巴西,71565212.0
202312,巴西,39495235.0
202312,巴西,55308262.0
202312,巴西,125840026.0
202312,巴西,391219883.0
202312,巴西,480239904.0
202312,巴西,19342659.0
202312,巴西,226538279.0
202312,巴西,14006109.0
202312,巴西,421782977.0
202312,巴西,58063803.0
202312,巴西,150590456.0
202312,巴西,167919252.0
202312,巴西,13777583.0
202312,巴西,92442772.0
202312,巴西,6465036.0
202312,巴西,12453084.0
202312,巴西,11747600.0
202312,巴西,26570857.0
202312,巴西,29999068.0
202312,巴西,4711520.0
202312,巴西,2844921.0
202312,巴西,189920400.0
