year,origin,import_volume,import_value
2017,Brazil,50930000,20916040906.0
2017,USA,32860000,13940603834.0
2017,Argentina,6580000,2683449005.0
2018,Brazil,66100000,28842575657.0
2018,USA,16640000,7061192629.0
2018,Argentina,1460000,621202902.0
2019,Brazil,57670000,22999907858.0
2019,USA,16940000,6682215259.0
2019,Argentina,8800000,3577309544.0
2020,Brazil,64280000,24905769538.0
2020,USA,25880000,10640462338.0
2020,Argentina,6580000,2896937570.0
2021,Brazil,58150000,33084983329.0
2021,USA,32300000,16550482486.0
2021,Argentina,3750000,2130194323.0
2022,Brazil,54400000,37301387864.0
2022,USA,29500000,18034291858.0
2022,Argentina,3650000,2334274372.0
2023,Brazil,69950000,40936613438.0
2023,USA,24170000,15124061473.0
2023,Argentina,1990000,1217710188.0
2024,Brazil,74500000,36455784932.0
2024,USA,22500000,12040339330.0
2024,Argentina,4100000,2082480281.0
2025,Brazil,79000000,31367338787.0
2025,USA,16800000,7725259721.0
2025,Argentina,7600000,1972941371.0
