年份,贸易伙伴名称,美元
2017,巴西,20916040906.0
2017,美国,13940603834.0
2017,阿根廷,2683449005.0
2018,巴西,28842575657.0
2018,美国,7061192629.0
2018,阿根廷,621202902.0
2019,巴西,22999907858.0
2019,美国,6682215259.0
2019,阿根廷,3577309544.0
2020,巴西,24905769538.0
2020,美国,10640462338.0
2020,阿根廷,2896937570.0
2021,巴西,33084983329.0
2021,美国,16550482486.0
2021,阿根廷,2130194323.0
2022,巴西,37301387864.0
2022,美国,18034291858.0
2022,阿根廷,2334274372.0
2023,巴西,40936613438.0
2023,美国,15124061473.0
2023,阿根廷,1217710188.0
2024,巴西,36455784932.0
2024,美国,12040339330.0
2024,阿根廷,2082480281.0
2025,巴西,31367338787.0
2025,美国,7725259721.0
2025,阿根廷,1972941371.0
