Commodity,Attribute,Country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Unit
Oilseed, Soybean,Production,Argentina,61450,58800,55000,37800,55300,48800,46200,43900,25000,48210,51108,1000 MT
Oilseed, Soybean,Production,Brazil,97100,95700,114900,123400,120500,128500,139500,130500,162000,154500,171500,1000 MT
Oilseed, Soybean,Production,China,12686,12367,13596,15283,15967,18092,19602,16395,20284,20840,20650,1000 MT
Oilseed, Soybean,Production,United States,106905,106869,116931,120065,120515,96644,114749,121504,116221,113273,119047,1000 MT
Oilseed, Soybean,Exports,Argentina,10575,9922,7025,2132,9104,10004,5195,2861,4185,5114,7868,1000 MT
Oilseed, Soybean,Exports,Brazil,50612,54383,63137,76136,74887,92129,81648,79063,95530,104191,103143,1000 MT
Oilseed, Soybean,Exports,China,143,114,114,134,116,90,70,102,90,70,72,1000 MT
Oilseed, Soybean,Exports,United States,50136,52869,58964,58071,47721,45800,61664,58570,53864,46266,51029,1000 MT
Oilseed, Soybean,Domestic Consumption,Argentina,45485,49467,49809,43633,47467,46020,47512,46025,36568,43833,50509,1000 MT
Oilseed, Soybean,Domestic Consumption,Brazil,43085,42422,43186,47040,45427,49842,49875,54017,57209,58255,62000,1000 MT
Oilseed, Soybean,Domestic Consumption,China,87800,95900,103500,106800,102600,110400,114900,110300,117500,121800,127400,1000 MT
Oilseed, Soybean,Domestic Consumption,United States,54989,54475,55719,58873,59924,61782,61287,62893,63302,65445,69458,1000 MT
Oilseed, Soybean,Ending Stocks,Argentina,27069,27156,26996,23734,28871,26529,24838,23691,16997,24047,23102,1000 MT
Oilseed, Soybean,Ending Stocks,Brazil,24498,23803,32632,33031,33357,20435,29427,27386,36801,29722,36811,1000 MT
Oilseed, Soybean,Ending Stocks,China,17060,16643,20120,22562,18350,24484,28856,25146,32340,43310,44488,1000 MT
Oilseed, Soybean,Ending Stocks,United States,5188,5354,8208,11923,25176,14657,6994,7468,7190,9319,8614,1000 MT
