"日期","价格","年份","月份"
"2015-01-31 00:00:00","309.93","2015","1月"
"2015-02-28 00:00:00","321.07","2015","2月"
"2015-03-31 00:00:00","355.42","2015","3月"
"2015-04-30 00:00:00","382.32","2015","4月"
"2015-05-31 00:00:00","345.38","2015","5月"
"2015-06-30 00:00:00","332.97","2015","6月"
"2015-07-31 00:00:00","349.20","2015","7月"
"2015-08-31 00:00:00","309.98","2015","8月"
"2015-09-30 00:00:00","264.68","2015","9月"
"2015-10-31 00:00:00","271.59","2015","10月"
"2015-11-30 00:00:00","248.54","2015","11月"
"2015-12-31 00:00:00","256.81","2015","12月"
"2016-01-31 00:00:00","288.83","2016","1月"
"2016-02-29 00:00:00","269.26","2016","2月"
"2016-03-31 00:00:00","297.11","2016","3月"
"2016-04-30 00:00:00","339.72","2016","4月"
"2016-05-31 00:00:00","341.15","2016","5月"
"2016-06-30 00:00:00","367.03","2016","6月"
"2016-07-31 00:00:00","331.15","2016","7月"
"2016-08-31 00:00:00","301.59","2016","8月"
"2016-09-30 00:00:00","336.23","2016","9月"
"2016-10-31 00:00:00","281.36","2016","10月"
"2016-11-30 00:00:00","272.99","2016","11月"
"2016-12-31 00:00:00","239.09","2016","12月"
"2017-01-31 00:00:00","263.93","2017","1月"
"2017-02-28 00:00:00","294.09","2017","2月"
"2017-03-31 00:00:00","292.04","2017","3月"
"2017-04-30 00:00:00","346.84","2017","4月"
"2017-05-31 00:00:00","347.36","2017","5月"
"2017-06-30 00:00:00","365.01","2017","6月"
"2017-07-31 00:00:00","359.29","2017","7月"
"2017-08-31 00:00:00","397.92","2017","8月"
"2017-09-30 00:00:00","341.76","2017","9月"
"2017-10-31 00:00:00","298.06","2017","10月"
"2017-11-30 00:00:00","314.19","2017","11月"
"2017-12-31 00:00:00","258.22","2017","12月"
"2018-01-31 00:00:00","281.66","2018","1月"
"2018-02-28 00:00:00","244.42","2018","2月"
"2018-03-31 00:00:00","273.25","2018","3月"
"2018-04-30 00:00:00","326.54","2018","4月"
"2018-05-31 00:00:00","361.78","2018","5月"
"2018-06-30 00:00:00","371.12","2018","6月"
"2018-07-31 00:00:00","377.86","2018","7月"
"2018-08-31 00:00:00","375.77","2018","8月"
"2018-09-30 00:00:00","342.79","2018","9月"
"2018-10-31 00:00:00","339.78","2018","10月"
"2018-11-30 00:00:00","322.31","2018","11月"
"2018-12-31 00:00:00","330.82","2018","12月"
"2019-01-31 00:00:00","300.62","2019","1月"
"2019-02-28 00:00:00","252.23","2019","2月"
"2019-03-31 00:00:00","298.99","2019","3月"
"2019-04-30 00:00:00","300.12","2019","4月"
"2019-05-31 00:00:00","316.62","2019","5月"
"2019-06-30 00:00:00","366.88","2019","6月"
"2019-07-31 00:00:00","396.56","2019","7月"
"2019-08-31 00:00:00","408.01","2019","8月"
"2019-09-30 00:00:00","375.36","2019","9月"
"2019-10-31 00:00:00","377.57","2019","10月"
"2019-11-30 00:00:00","372.90","2019","11月"
"2019-12-31 00:00:00","363.35","2019","12月"
"2020-01-31 00:00:00","312.09","2020","1月"
"2020-02-29 00:00:00","301.24","2020","2月"
"2020-03-31 00:00:00","275.49","2020","3月"
"2020-04-30 00:00:00","277.58","2020","4月"
"2020-05-31 00:00:00","332.16","2020","5月"
"2020-06-30 00:00:00","364.87","2020","6月"
