"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-11-1","1,131.63","1,114.25","1,169.38","1,103.50","1.30M","1.47%"
"2025-10-1","1,115.25","1,018.75","1,115.75","1,012.50","3.11M","9.31%"
"2025-9-1","1,020.25","1,052.25","1,072.00","1,019.00","1.52M","-3.25%"
"2025-8-1","1,054.50","970.25","1,062.75","962.00","1.85M","8.77%"
"2025-7-1","969.50","1,027.25","1,064.25","967.75","930.08K","-5.35%"
"2025-6-1","1,024.25","1,042.25","1,080.50","1,017.25","2.40M","-1.21%"
"2025-5-1","1,036.75","1,044.00","1,082.00","1,035.75","1.40M","-0.74%"
"2025-4-1","1,044.50","1,028.00","1,067.50","985.00","2.76M","1.58%"
"2025-3-1","1,028.25","1,026.00","1,045.75","991.00","2.07M","1.66%"
"2025-2-1","1,011.50","1,032.00","1,079.75","1,011.00","2.33M","-4.35%"
"2025-1-1","1,057.50","1,010.00","1,088.00","985.50","2.33M","5.94%"
"2024-12-1","998.25","989.50","1,003.50","945.25","2.43M","0.88%"
"2024-11-1","989.50","984.25","1,030.00","973.00","1.18M","0.71%"
"2024-10-1","982.50","1,055.75","1,065.50","963.75","3.77M","-7.05%"
"2024-9-1","1,057.00","978.75","1,069.75","978.25","1.75M","7.64%"
"2024-8-1","982.00","1,030.00","1,045.00","936.25","167.33K","-3.20%"
"2024-7-1","1,014.50","1,133.50","1,169.75","1,005.25","728.87K","-11.82%"
"2024-6-1","1,150.50","1,204.25","1,205.50","1,146.25","2.32M","-4.40%"
"2024-5-1","1,203.50","1,161.00","1,256.50","1,156.25","1.83M","3.48%"
"2024-4-1","1,163.00","1,209.25","1,215.75","1,145.75","2.66M","-3.51%"
"2024-3-1","1,205.25","1,139.00","1,240.00","1,137.25","1.99M","6.82%"
"2024-2-1","1,128.25","1,221.25","1,221.75","1,115.00","2.23M","-8.48%"
"2024-1-1","1,232.75","1,290.50","1,290.75","1,199.00","1.78M","-4.70%"
"2023-12-1","1,293.50","1,342.00","1,344.00","1,292.00","2.02M","-3.67%"
"2023-11-1","1,342.75","1,311.88","1,398.38","1,304.50","110.83K","2.46%"
"2023-10-1","1,310.50","1,271.88","1,330.88","1,250.75","160.76K","2.78%"
"2023-9-1","1,275.00","1,362.00","1,374.00","1,272.50","1.30M","-6.85%"
"2023-8-1","1,368.75","1,333.00","1,409.38","1,282.50","124.25K","2.78%"
"2023-7-1","1,331.75","1,343.75","1,434.88","1,315.62","166.88K","-7.65%"
"2023-6-1","1,442.00","1,216.50","1,453.25","1,216.00","728.88K","10.94%"
"2023-5-1","1,299.75","1,418.88","1,446.50","1,270.62","128.26K","-8.42%"
"2023-4-1","1,419.25","1,509.88","1,531.50","1,396.50","89.80K","-5.73%"
"2023-3-1","1,505.50","1,491.50","1,550.00","1,405.00","1.45M","1.76%"
"2023-2-1","1,479.50","1,537.38","1,555.38","1,478.00","60.07K","-3.80%"
"2023-1-1","1,538.00","1,524.38","1,548.38","1,465.00","126.43K","0.92%"
"2022-12-1","1,524.00","1,472.00","1,537.50","1,431.75","1.61M","3.71%"
"2022-11-1","1,469.50","1,417.00","1,478.50","1,406.75","93.20K","3.52%"
"2022-10-1","1,419.50","1,362.38","1,424.00","1,350.00","","4.01%"
"2022-9-1","1,364.75","1,511.25","1,558.25","1,363.25","1.30M","-4.06%"
"2022-8-1","1,422.50","1,477.25","1,484.38","1,356.00","100.44K","-3.13%"
"2022-7-1","1,468.50","1,563.88","1,573.25","1,314.50","121.32K","-5.90%"
"2022-6-1","1,560.50","1,686.88","1,783.62","1,504.12","84.65K","-7.50%"
"2022-5-1","1,687.00","1,684.12","1,749.38","1,578.00","93.35K","0.13%"
"2022-4-1","1,684.75","1,600.00","1,734.00","1,560.50","1.57M","4.11%"
"2022-3-1","1,618.25","1,645.25","1,736.25","1,613.50","","-1.58%"
"2022-2-1","1,644.25","1,489.62","1,758.88","1,485.00","107.15K","10.32%"
"2022-1-1","1,490.50","1,340.88","1,496.75","1,340.62","0.04K","12.17%"
"2021-12-1","1,328.75","1,222.00","1,375.75","1,216.25","1.88M","9.16%"
"2021-11-1","1,217.25","1,248.38","1,289.12","1,181.62","72.91K","-1.50%"
"2021-10-1","1,235.75","1,255.00","1,262.50","1,184.50","2.51M","-1.69%"
"2021-9-1","1,257.00","1,294.00","1,308.00","1,249.12","","-2.82%"
"2021-8-1","1,293.50","1,350.12","1,379.75","1,277.62","","-4.07%"
"2021-7-1","1,348.38","1,402.50","1,422.88","1,300.62","","-3.24%"
"2021-6-1","1,393.50","1,543.62","1,623.00","1,268.25","","-8.83%"
"2021-5-1","1,528.50","1,547.75","1,667.12","1,489.75","","-0.46%"
"2021-4-1","1,535.62","1,447.25","1,574.75","1,378.50","","6.88%"
"2021-3-1","1,436.75","1,415.25","1,459.88","1,364.25","","2.05%"
"2021-2-1","1,407.88","1,376.50","1,445.75","1,338.12","","3.19%"
"2021-1-1","1,364.38","1,310.25","1,436.25","1,298.25","","4.13%"
"2020-12-1","1,310.25","1,169.62","1,320.60","1,142.62","","12.11%"
"2020-11-1","1,168.75","1,060.25","1,199.62","1,041.62","","10.58%"
"2020-10-1","1,056.88","1,023.38","1,093.88","1,013.00","","3.44%"
"2020-9-1","1,021.75","950.62","1,046.50","942.88","","7.27%"
"2020-8-1","952.50","891.75","966.88","865.38","","6.16%"
"2020-7-1","897.25","883.75","909.75","870.62","","1.61%"
"2020-6-1","883.00","844.00","891.00","834.12","","5.06%"
"2020-5-1","840.50","854.88","861.12","828.62","","-1.75%"
"2020-4-1","855.50","885.75","886.88","808.38","","-3.39%"
"2020-3-1","885.50","891.88","912.25","821.12","","-0.85%"
"2020-2-1","893.12","871.12","902.00","868.88","","2.35%"
"2020-1-1","872.62","943.50","954.50","872.38","","-7.51%"
"2019-12-1","943.50","876.62","943.50","867.62","","7.63%"
"2019-11-1","876.62","931.00","942.12","876.12","","-5.92%"
"2019-10-1","931.75","904.12","945.38","903.38","","3.04%"
"2019-9-1","904.25","866.38","906.62","851.12","","4.15%"
"2019-8-1","868.25","880.75","896.62","852.62","","-1.36%"
"2019-7-1","880.25","915.12","936.38","874.62","","-0.18%"
"2019-6-1","881.88","876.12","923.00","848.38","","0.41%"
"2019-5-1","878.25","853.62","892.62","791.38","","2.78%"
"2019-4-1","854.50","883.88","907.12","851.38","","-3.32%"
"2019-3-1","883.88","910.00","924.38","883.12","","-2.87%"
"2019-2-1","910.00","915.75","934.38","893.12","","-0.63%"
"2019-1-1","915.75","894.00","927.62","891.12","","2.43%"
"2018-12-1","894.00","919.25","928.00","867.00","","0.08%"
"2018-11-1","893.25","850.25","900.75","845.75","","4.90%"
"2018-10-1","851.50","845.00","892.00","840.00","","0.86%"
"2018-9-1","844.25","845.50","859.25","812.25","","-0.15%"
"2018-8-1","845.50","907.50","907.50","829.00","","-6.83%"
"2018-7-1","907.50","865.25","911.50","810.75","","5.19%"
"2018-6-1","862.75","1,020.00","1,026.50","842.50","","-15.38%"
"2018-5-1","1,019.50","1,049.00","1,055.50","992.50","","-2.77%"
"2018-4-1","1,048.50","1,046.00","1,067.50","983.50","","0.36%"
"2018-3-1","1,044.75","1,055.00","1,082.50","1,009.25","","-0.97%"
"2018-2-1","1,055.00","996.75","1,059.50","967.75","","5.84%"
"2018-1-1","996.75","967.50","1,004.75","944.50","","3.56%"
"2017-12-1","962.50","986.88","1,014.88","946.62","","-2.35%"
"2017-11-1","985.62","984.75","1,007.62","967.12","","0.10%"
"2017-10-1","984.62","967.38","1,003.12","952.62","","1.83%"
"2017-9-1","966.88","947.62","986.88","938.62","","2.14%"
"2017-8-1","946.62","988.50","992.62","917.38","","-5.18%"
"2017-7-1","998.38","956.62","1,032.62","956.12","","5.27%"
"2017-6-1","948.38","916.38","950.38","900.38","","3.55%"
