"Date","Year","Month","Price"
"2015-01-31","2015","January","312.362035654209"
"2015-02-28","2015","February","485.214291922975"
"2015-03-31","2015","March","419.598182543422"
"2015-04-30","2015","April","379.597545259111"
"2015-05-31","2015","May","246.805592132731"
"2015-06-30","2015","June","246.798356100861"
"2015-07-31","2015","July","217.42508365046"
"2015-08-31","2015","August","459.852843732481"
"2015-09-30","2015","September","380.334503522963"
"2015-10-31","2015","October","412.421773338814"
"2015-11-30","2015","November","206.175348288741"
"2015-12-31","2015","December","490.972955648598"
"2016-01-31","2016","January","449.732792240127"
"2016-02-29","2016","February","263.701733203483"
"2016-03-31","2016","March","254.54749016213"
"2016-04-30","2016","April","255.02135295603"
"2016-05-31","2016","May","291.272672887861"
"2016-06-30","2016","June","357.426929489671"
"2016-07-31","2016","July","329.583505592635"
"2016-08-31","2016","August","287.368742059413"
"2016-09-30","2016","September","383.555868416714"
"2016-10-31","2016","October","241.848158195613"
"2016-11-30","2016","November","287.643394560565"
"2016-12-31","2016","December","309.908552988108"
"2017-01-31","2017","January","336.820995265111"
"2017-02-28","2017","February","435.552788417904"
"2017-03-31","2017","March","259.902134647508"
"2017-04-30","2017","April","354.270331524084"
"2017-05-31","2017","May","377.724370658613"
"2017-06-30","2017","June","213.935123815999"
"2017-07-31","2017","July","382.263455570432"
"2017-08-31","2017","August","251.157237106188"
"2017-09-30","2017","September","219.515477895584"
"2017-10-31","2017","October","484.665661176"
"2017-11-30","2017","November","489.689609922368"
"2017-12-31","2017","December","442.519204434938"
"2018-01-31","2018","January","291.384130752011"
"2018-02-28","2018","February","229.301634201915"
"2018-03-31","2018","March","405.269907953647"
"2018-04-30","2018","April","332.04574812188"
"2018-05-31","2018","May","236.611470453434"
"2018-06-30","2018","June","348.553073033381"
"2018-07-31","2018","July","210.316556334566"
"2018-08-31","2018","August","472.796120623635"
"2018-09-30","2018","September","277.633994480005"
"2018-10-31","2018","October","398.756685306195"
"2018-11-30","2018","November","293.513322826823"
"2018-12-31","2018","December","356.020406353343"
"2019-01-31","2019","January","364.013083802984"
"2019-02-28","2019","February","255.456336657658"
"2019-03-31","2019","March","490.875388329368"
"2019-04-30","2019","April","432.539847008334"
"2019-05-31","2019","May","481.849682469257"
"2019-06-30","2019","June","468.448205128295"
"2019-07-31","2019","July","379.369993643326"
"2019-08-31","2019","August","476.562270506935"
"2019-09-30","2019","September","226.547750615576"
"2019-10-31","2019","October","258.794858725744"
"2019-11-30","2019","November","213.568186673161"
"2019-12-31","2019","December","297.599099228979"
"2020-01-31","2020","January","316.603186906845"
"2020-02-29","2020","February","281.404709532169"
"2020-03-31","2020","March","448.621252745579"
"2020-04-30","2020","April","307.025998008077"
"2020-05-31","2020","May","284.280352906214"
"2020-06-30","2020","June","362.808824947475"
"2020-07-31","2020","July","242.277267492429"
"2020-08-31","2020","August","440.659094226212"
"2020-09-30","2020","September","222.365193103931"
"2020-10-31","2020","October","496.066080980155"
"2020-11-30","2020","November","431.673430788997"
"2020-12-31","2020","December","259.614704460252"
"2021-01-31","2021","January","201.656635137081"
"2021-02-28","2021","February","444.63842853645"
"2021-03-31","2021","March","412.057203154285"
"2021-04-30","2021","April","418.702150412296"
"2021-05-31","2021","May","431.381104005784"
"2021-06-30","2021","June","222.213395520227"
"2021-07-31","2021","July","307.539718563282"
"2021-08-31","2021","August","234.760717857539"
"2021-09-30","2021","September","458.931027762678"
"2021-10-31","2021","October","386.989438048267"
"2021-11-30","2021","November","299.269407455795"
"2021-12-31","2021","December","219.067505085807"
"2022-01-31","2022","January","293.294696514699"
"2022-02-28","2022","February","297.554996608024"
"2022-03-31","2022","March","418.881853501419"
"2022-04-30","2022","April","391.267241406564"
"2022-05-31","2022","May","466.163822772898"
"2022-06-30","2022","June","341.664477548585"
"2022-07-31","2022","July","235.878273781491"
"2022-08-31","2022","August","413.973436166899"
"2022-09-30","2022","September","428.235514585069"
"2022-10-31","2022","October","368.383159270849"
"2022-11-30","2022","November","431.290153986368"
"2022-12-31","2022","December","348.138678909317"
"2023-01-31","2023","January","356.819848814598"
"2023-02-28","2023","February","328.262305507565"
"2023-03-31","2023","March","207.625738023229"
"2023-04-30","2023","April","232.367428097991"
"2023-05-31","2023","May","209.42875570602"
"2023-06-30","2023","June","390.923123379134"
"2023-07-31","2023","July","294.306794322898"
"2023-08-31","2023","August","352.571207349411"
"2023-09-30","2023","September","472.269942177828"
"2023-10-31","2023","October","274.787668744663"
"2023-11-30","2023","November","323.114876910689"
"2023-12-31","2023","December","426.665341562915"
"2024-01-31","2024","January","268.639449647487"
"2024-02-29","2024","February","223.093972948638"
"2024-03-31","2024","March","286.92543587413"
"2024-04-30","2024","April","248.366386176201"
"2024-05-31","2024","May","478.909295702772"
"2024-06-30","2024","June","442.436113869325"
"2024-07-31","2024","July","390.021126953127"
"2024-08-31","2024","August","461.438177056315"
"2024-09-30","2024","September","441.101623069734"
"2024-10-31","2024","October","255.971017665811"
"2024-11-30","2024","November","467.767699546993"
"2024-12-31","2024","December","361.802672574695"
"2025-01-31","2025","January","442.232046549219"
"2025-02-28","2025","February","468.827389977048"
"2025-03-31","2025","March","295.401042491559"
"2025-04-30","2025","April","233.015577358303"
"2025-05-31","2025","May","268.380548762583"
"2025-06-30","2025","June","328.132336587877"
"2025-07-31","2025","July","445.404429776748"
"2025-08-31","2025","August","458.219174976903"
"2025-09-30","2025","September","202.085639159357"
"2025-10-31","2025","October","353.22419077327"
"2025-11-30","2025","November","325.223300944634"
