"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","贸易方式编码","贸易方式名称","注册地编码","注册地名称","美元",
"202301","1201","大豆，不论是否破碎","145","哈萨克斯坦","10","一般贸易","65","新疆维吾尔自治区","161,165",
"202301","1201","大豆，不论是否破碎","203","贝宁","10","一般贸易","11","北京市","18,181",
"202301","1201","大豆，不论是否破碎","203","贝宁","10","一般贸易","13","河北省","384,274",
"202301","1201","大豆，不论是否破碎","203","贝宁","10","一般贸易","43","湖南省","536,349",
"202301","1201","大豆，不论是否破碎","203","贝宁","10","一般贸易","44","广东省","373,824",
"202301","1201","大豆，不论是否破碎","217","埃塞俄比亚","10","一般贸易","11","北京市","1,093,990",
"202301","1201","大豆，不论是否破碎","217","埃塞俄比亚","10","一般贸易","21","辽宁省","3,859,272",
"202301","1201","大豆，不论是否破碎","217","埃塞俄比亚","10","一般贸易","31","上海市","382,575",
"202301","1201","大豆，不论是否破碎","247","坦桑尼亚","10","一般贸易","11","北京市","67,075",
"202301","1201","大豆，不论是否破碎","344","俄罗斯","10","一般贸易","11","北京市","3,283,754",
"202301","1201","大豆，不论是否破碎","344","俄罗斯","10","一般贸易","21","辽宁省","563,063",
"202301","1201","大豆，不论是否破碎","344","俄罗斯","10","一般贸易","22","吉林省","33,481",
"202301","1201","大豆，不论是否破碎","344","俄罗斯","10","一般贸易","23","黑龙江省","20,345,638",
"202301","1201","大豆，不论是否破碎","344","俄罗斯","10","一般贸易","37","山东省","988,079",
"202301","1201","大豆，不论是否破碎","344","俄罗斯","19","边境小额贸易","23","黑龙江省","28,092,140",
"202301","1201","大豆，不论是否破碎","344","俄罗斯","34","海关特殊监管区域物流货物","23","黑龙江省","931,581",
"202301","1201","大豆，不论是否破碎","347","乌克兰","10","一般贸易","11","北京市","1,788,447",
"202301","1201","大豆，不论是否破碎","347","乌克兰","10","一般贸易","12","天津市","499,749",
"202301","1201","大豆，不论是否破碎","347","乌克兰","10","一般贸易","13","河北省","392,434",
"202301","1201","大豆，不论是否破碎","347","乌克兰","10","一般贸易","34","安徽省","3,737,213",
"202301","1201","大豆，不论是否破碎","347","乌克兰","10","一般贸易","37","山东省","1,410,192",
"202301","1201","大豆，不论是否破碎","347","乌克兰","10","一般贸易","41","河南省","497,103",
"202301","1201","大豆，不论是否破碎","347","乌克兰","10","一般贸易","62","甘肃省","76,192",
"202301","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","11","北京市","71,914,131",
"202301","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","13","河北省","44,615,802",
"202301","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","23","黑龙江省","45,298,488",
"202301","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","31","上海市","43,976,442",
"202301","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","32","江苏省","378,071,498",
"202301","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","34","安徽省","11,884,736",
"202301","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","35","福建省","44,235,977",
"202301","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","36","江西省","14,030,254",
"202301","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","42","湖北省","17,121,512",
"202301","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","43","湖南省","14,371,293",
"202301","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","44","广东省","61,069,939",
"202301","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","45","广西壮族自治区","45,480,621",
"202301","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","50","重庆市","14,444,560",
"202301","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","61","陕西省","17,205,067",
"202301","1201","大豆，不论是否破碎","402","阿根廷","15","进料加工贸易","44","广东省","13,103,400",
"202301","1201","大豆，不论是否破碎","402","阿根廷","39","其他","11","北京市","687",
