"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","贸易方式编码","贸易方式名称","注册地编码","注册地名称","美元",
"201701","1201","大豆，不论是否破碎","344","俄罗斯","19","边境小额贸易","23","黑龙江省","11,049,268",
"201701","1201","大豆，不论是否破碎","344","俄罗斯","34","海关特殊监管区域物流货物","21","辽宁省","2,314,620",
"201701","1201","大豆，不论是否破碎","347","乌克兰","10","一般贸易","37","山东省","431,424",
"201701","1201","大豆，不论是否破碎","347","乌克兰","10","一般贸易","44","广东省","1,663,332",
"201701","1201","大豆，不论是否破碎","402","阿根廷","10","一般贸易","45","广西壮族自治区","28,399,250",
"201701","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","31","上海市","29,124,787",
"201701","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","35","福建省","38,077,422",
"201701","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","37","山东省","14,842,385",
"201701","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","53","云南省","29,379,609",
"201701","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","12","天津市","74,668",
"201701","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","13","河北省","347,985",
"201701","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","21","辽宁省","39,200",
"201701","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","23","黑龙江省","41,078,549",
"201701","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","32","江苏省","45,319,046",
"201701","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","35","福建省","588,000",
"201701","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","37","山东省","45,229,648",
"201701","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","44","广东省","29,908,725",
"201701","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","45","广西壮族自治区","29,809,826",
"201701","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","50","重庆市","13,137,000",
"201701","1201","大豆，不论是否破碎","501","加拿大","14","来料加工贸易","44","广东省","284,751",
"201701","1201","大豆，不论是否破碎","501","加拿大","15","进料加工贸易","37","山东省","17,486,535",
"201701","1201","大豆，不论是否破碎","501","加拿大","15","进料加工贸易","44","广东省","326,794",
"201701","1201","大豆，不论是否破碎","502","美国","10","一般贸易","11","北京市","369,210,246",
"201701","1201","大豆，不论是否破碎","502","美国","10","一般贸易","13","河北省","203,308,019",
"201701","1201","大豆，不论是否破碎","502","美国","10","一般贸易","21","辽宁省","78,799,043",
"201701","1201","大豆，不论是否破碎","502","美国","10","一般贸易","23","黑龙江省","119,527,028",
"201701","1201","大豆，不论是否破碎","502","美国","10","一般贸易","31","上海市","250,862,564",
"201701","1201","大豆，不论是否破碎","502","美国","10","一般贸易","32","江苏省","611,624,465",
"201701","1201","大豆，不论是否破碎","502","美国","10","一般贸易","33","浙江省","35,680,919",
"201701","1201","大豆，不论是否破碎","502","美国","10","一般贸易","34","安徽省","6,030,840",
"201701","1201","大豆，不论是否破碎","502","美国","10","一般贸易","35","福建省","151,645,331",
"201701","1201","大豆，不论是否破碎","502","美国","10","一般贸易","36","江西省","229,856",
"201701","1201","大豆，不论是否破碎","502","美国","10","一般贸易","37","山东省","496,174,202",
"201701","1201","大豆，不论是否破碎","502","美国","10","一般贸易","41","河南省","83,417,045",
"201701","1201","大豆，不论是否破碎","502","美国","10","一般贸易","42","湖北省","10,214,180",
"201701","1201","大豆，不论是否破碎","502","美国","10","一般贸易","44","广东省","51,238,541",
"201701","1201","大豆，不论是否破碎","502","美国","10","一般贸易","45","广西壮族自治区","253,524,733",
"201701","1201","大豆，不论是否破碎","502","美国","10","一般贸易","50","重庆市","8,645,391",
"201701","1201","大豆，不论是否破碎","502","美国","10","一般贸易","51","四川省","22,935,343",
"201701","1201","大豆，不论是否破碎","502","美国","10","一般贸易","61","陕西省","49,162,171",
"201701","1201","大豆，不论是否破碎","502","美国","10","一般贸易","65","新疆维吾尔自治区","8,912,378",
"201701","1201","大豆，不论是否破碎","502","美国","14","来料加工贸易","21","辽宁省","216,480",
"201701","1201","大豆，不论是否破碎","502","美国","15","进料加工贸易","37","山东省","30,514,763",
"201701","1201","大豆，不论是否破碎","502","美国","15","进料加工贸易","45","广西壮族自治区","880,060",
"201701","1201","大豆，不论是否破碎","502","美国","33","保税监管场所进出境货物","31","上海市","1,444,741",
"201701","1201","大豆，不论是否破碎","502","美国","33","保税监管场所进出境货物","32","江苏省","4,391,574",
"201701","1201","大豆，不论是否破碎","502","美国","33","保税监管场所进出境货物","33","浙江省","29,660,586",
"201701","1201","大豆，不论是否破碎","502","美国","34","海关特殊监管区域物流货物","12","天津市","63,324,521",
"201701","1201","大豆，不论是否破碎","502","美国","39","其他","31","上海市","21,470",
"201701","1201","大豆，不论是否破碎","502","美国","39","其他","32","江苏省","37,644",
"201702","1201","大豆，不论是否破碎","145","哈萨克斯坦","10","一般贸易","65","新疆维吾尔自治区","45,926",
"201702","1201","大豆，不论是否破碎","344","俄罗斯","19","边境小额贸易","23","黑龙江省","17,940,919",
"201702","1201","大豆，不论是否破碎","344","俄罗斯","34","海关特殊监管区域物流货物","21","辽宁省","1,205,820",
"201702","1201","大豆，不论是否破碎","344","俄罗斯","34","海关特殊监管区域物流货物","23","黑龙江省","141,080",
"201702","1201","大豆，不论是否破碎","347","乌克兰","10","一般贸易","13","河北省","407,240",
"201702","1201","大豆，不论是否破碎","347","乌克兰","10","一般贸易","37","山东省","217,876",
"201702","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","11","北京市","55,982,543",
"201702","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","12","天津市","26,127,717",
"201702","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","31","上海市","30,967,983",
"201702","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","32","江苏省","35,540,606",
"201702","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","33","浙江省","40,429,659",
"201702","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","35","福建省","56,407,002",
"201702","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","44","广东省","11,719,075",
"201702","1201","大豆，不论是否破碎","410","巴西","10","一般贸易","53","云南省","28,761,356",
"201702","1201","大豆，不论是否破碎","410","巴西","15","进料加工贸易","45","广西壮族自治区","445,540",
"201702","1201","大豆，不论是否破碎","410","巴西","33","保税监管场所进出境货物","45","广西壮族自治区","8,491,970",
"201702","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","12","天津市","75,000",
"201702","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","13","河北省","16,564,845",
"201702","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","21","辽宁省","130,051",
"201702","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","33","浙江省","27,467,264",
"201702","1201","大豆，不论是否破碎","501","加拿大","10","一般贸易","35","福建省","472,779",
