year,cpi_all,cpi_core,cpi_food_beverage,cpi_auto,ppi_intermediate,ppi_final,import_price_index,ppi_auto_parts,ppi_electronic_components
2016,240.0,247.9,242.8,100.5,179.6,109.9,116.8,125.4,67.6
2017,245.1,253.5,244.9,99.2,187.6,112.8,120.6,125.2,66.7
2018,251.1,260.0,248.3,98.6,201.5,116.5,124.9,125.7,65.9
2019,255.7,265.9,252.9,99.1,198.1,118.2,123.3,127.8,64.5
2020,258.8,270.1,261.6,100.9,187.8,118.5,118.7,128.4,63.0
2021,271.0,282.6,273.5,111.5,236.8,128.6,134.8,131.6,62.6
2022,292.7,306.2,302.3,133.8,279.7,151.3,152.5,145.5,64.2
2023,304.7,320.3,324.4,135.3,255.3,156.0,143.7,155.7,66.8
2024,314.1,330.1,332.2,132.8,252.8,160.5,144.0,160.2,67.5
2025,322.5,338.5,341.0,131.5,255.0,165.0,145.0,163.0,68.0
