year,soybean,soy_oil,soy_meal,dy_oxide,prnd_oxide,nd_oxide,lithium,cu,al,polysilicon,cobalt,nickel
2016,9.58,0.32,323,220,45,40,8000,4863,1604,20,26000,9595
2017,9.33,0.33,319,250,60,55,15000,6170,1968,18,58000,10411
2018,9.31,0.30,332,180,50,45,16500,6523,2110,15,70000,13205
2019,8.91,0.31,305,250,45,40,12000,6007,1792,12,35000,13938
2020,10.42,0.35,335,280,50,45,8500,6181,1704,10,32000,13792
2021,13.38,0.58,420,350,90,85,25000,9322,2473,25,50000,18466
2022,14.85,0.68,480,450,150,140,70000,8811,2710,35,70000,25529
2023,13.02,0.55,410,300,80,75,35000,8491,2255,15,33000,21521
2024,11.04,0.45,350,250,60,55,14000,9142,2419,8,28000,16814
2025,10.33,0.42,295,187,76,70,9000,9835,2600,6,45000,15800
