year,category,import_value_billion_usd,export_value_billion_usd,import_unit_price,export_unit_price,top_import_source,top_export_dest
2016,soybeans,1.2,22.6,400,383,Brazil,China
2017,soybeans,1.3,24.0,406,400,Brazil,China
2018,soybeans,1.4,18.0,400,375,Brazil,China
2019,soybeans,1.5,16.0,395,348,Brazil,China
2020,soybeans,1.5,25.8,375,423,Brazil,China
2021,soybeans,1.6,26.0,381,419,Brazil,China
2022,soybeans,1.8,27.0,400,429,Brazil,China
2023,soybeans,1.9,25.0,396,431,Brazil,China
2024,soybeans,2.0,28.0,400,452,Brazil,China
2025,soybeans,1.9 (annualized),25.2 (annualized),475,520,Brazil,China

2016,autos,1500,500,88000,100000,Mexico,Canada
2017,autos,1600,520,89000,100000,Mexico,Canada
2018,autos,1700,550,89000,100000,Mexico,Canada
2019,autos,1550,520,89000,100000,Mexico,Canada
2020,autos,1200,400,86000,100000,Mexico,Canada
2021,autos,1600,580,89000,100000,Mexico,Canada
2022,autos,1750,620,90000,100000,Mexico,Canada
2023,autos,1700,600,89000,100000,Mexico,Canada
2024,autos,1800,650,100000,100000,Mexico,Canada
2025,autos,1620 (annualized),576 (annualized),110000,110000,Mexico,Canada

2016,semiconductors,250,300,0.63,0.60,China,China
2017,semiconductors,270,320,0.64,0.60,China,China
2018,semiconductors,290,340,0.66,0.61,China,China
2019,semiconductors,300,360,0.65,0.62,China,China
2020,semiconductors,280,350,0.62,0.64,China,China
2021,semiconductors,320,400,0.64,0.65,China,China
2022,semiconductors,340,420,0.65,0.66,China,China
2023,semiconductors,360,430,0.65,0.66,China,China
2024,semiconductors,370,440,0.66,0.66,China,China
2025,semiconductors,360 (annualized),456 (annualized),0.80,0.82,China,China

2016,rare_earths,1.2,0.2,8,10,China,EU
2017,rare_earths,1.3,0.22,8.1,10,China,EU
2018,rare_earths,1.4,0.25,8.2,10,China,EU
2019,rare_earths,1.5,0.28,8.3,10,China,EU
2020,rare_earths,1.5,0.3,8.3,10,China,EU
2021,rare_earths,1.6,0.32,8.4,10,China,EU
2022,rare_earths,1.8,0.35,8.2,10,China,EU
2023,rare_earths,1.9,0.38,8.3,10,China,EU
2024,rare_earths,2.0,0.4,8,10,China,EU
2025,rare_earths,1.68 (annualized),0.36 (annualized),40,42,China,EU

2016,lithium,2.0,0.5,"10000/150","10000/150",China,EU
2017,lithium,2.2,0.55,"10000/152","10000/152",China,EU
2018,lithium,2.5,0.6,"10000/155","10000/155",China,EU
2019,lithium,2.8,0.65,"10000/158","10000/158",China,EU
2020,lithium,3.0,0.8,"10000/150","10000/150",China,EU
2021,lithium,3.5,0.9,"10000/155","10000/155",China,EU
2022,lithium,4.0,1.0,"10000/164","10000/164",China,EU
2023,lithium,4.2,1.1,"10700/170","10700/170",China,EU
2024,lithium,4.32,1.2,"10800/180","10800/180",China,EU
2025,lithium,4.08 (annualized),1.2 (annualized),"10400/200","10400/200",China,EU

2016,electronics,4000,1500,8,7.5,China,Mexico
2017,electronics,4200,1600,8.1,7.6,China,Mexico
2018,electronics,4400,1700,8.1,7.7,China,Mexico
2019,electronics,4300,1650,8.1,7.7,China,Mexico
2020,electronics,4200,1600,7.6,7.3,China,Mexico
2021,electronics,4500,1800,7.8,7.5,China,Mexico
2022,electronics,4600,2000,7.7,7.7,China,Mexico
2023,electronics,4550,1950,7.7,7.8,China,Mexico
2024,electronics,4630,2140,7.7,7.6,China,Mexico
2025,electronics,4200 (annualized),2040 (annualized),9,9.3,China,Mexico
