year,import_value_billion_usd,mexico,canada,japan,korea,eu,china,import_volume_million_units,import_unit_price_10000usd,export_value_billion_usd,export_canada,export_mexico,export_china,export_eu,export_volume_million_units,export_unit_price_10000usd
2016,1500,350,300,250,150,200,50,17,8.8,500,150,100,80,50,5,10
2017,1600,370,320,260,160,210,55,18,8.9,520,155,105,85,52,5.2,10
2018,1700,390,340,270,170,220,60,19,8.9,550,160,110,90,55,5.5,10
2019,1550,360,310,250,155,205,50,17.5,8.9,520,150,100,80,50,5.2,10
2020,1200,300,250,200,120,150,40,14,8.6,400,120,80,60,40,4,10
2021,1600,400,320,240,140,180,50,18,8.9,580,170,120,90,55,5.8,10
2022,1750,430,350,280,170,210,70,19.5,9.0,620,180,130,100,60,6.2,10
2023,1700,420,340,270,160,200,60,19,8.9,600,175,125,95,58,6,10
2024,1800,450,350,300,200,250,100,18,10,650,200,150,100,80,6.5,10
2025,1620 (annualized),380,300,250,170,200,50,16 (annualized),11,576 (annualized),150,110,70,60,5.8 (annualized),11
