year,import_value_billion_usd,china,mexico,vietnam,eu,japan,korea,import_volume_trillion_units,import_unit_price_usd,export_value_billion_usd,export_mexico,export_canada,export_china,export_eu,export_volume_trillion_units,export_unit_price_usd
2016,4000,1400,600,300,400,200,200,5,8,1500,400,300,300,200,2,7.5
2017,4200,1450,650,350,420,210,210,5.2,8.1,1600,430,320,320,210,2.1,7.6
2018,4400,1500,700,400,440,220,220,5.4,8.1,1700,460,340,340,220,2.2,7.7
2019,4300,1450,680,380,430,215,215,5.3,8.1,1650,450,330,330,215,2.15,7.7
2020,4200,1400,700,400,400,200,200,5.5,7.6,1600,450,350,300,200,2.2,7.3
2021,4500,1500,750,450,450,225,225,5.8,7.8,1800,500,400,350,250,2.4,7.5
2022,4600,1550,800,500,460,230,230,6.0,7.7,2000,550,450,400,300,2.6,7.7
2023,4550,1520,780,480,455,225,225,5.9,7.7,1950,530,430,380,290,2.5,7.8
2024,4630,1600,800,500,500,300,300,6,7.7,2140,600,450,400,300,2.8,7.6
2025,4200 (annualized),1100,700,450,400,250,250,5.4 (annualized),9,2040 (annualized),500,400,300,250,2.6 (annualized),9.3
