year,import_value_billion_usd,china,singapore,israel,japan,canada,import_volume,import_unit_price,export_value_billion_usd,export_eu,export_canada,export_mexico,export_volume,export_unit_price
2016,2,0.8,0.4,0.3,0.3,0.1,2/0.5,10000/150,0.5,0.2,0.1,0.1,0.5/0.1,10000/150
2017,2.2,0.9,0.45,0.32,0.32,0.11,2.2/0.55,10000/152,0.55,0.22,0.11,0.11,0.55/0.11,10000/152
2018,2.5,1.0,0.5,0.35,0.35,0.12,2.5/0.6,10000/155,0.6,0.24,0.12,0.12,0.6/0.12,10000/155
2019,2.8,1.1,0.55,0.38,0.38,0.13,2.8/0.65,10000/158,0.65,0.26,0.13,0.13,0.65/0.13,10000/158
2020,3,1.2,0.6,0.4,0.4,0.2,3/0.8,10000/150,0.8,0.3,0.2,0.2,0.8/0.2,10000/150
2021,3.5,1.4,0.7,0.45,0.45,0.25,3.5/0.9,10000/155,0.9,0.35,0.23,0.23,0.9/0.23,10000/155
2022,4,1.6,0.8,0.5,0.5,0.3,4/1.1,10000/164,1.0,0.4,0.27,0.27,1.0/0.27,10000/164
2023,4.2,1.65,0.82,0.52,0.52,0.31,4.2/1.15,10700/170,1.1,0.42,0.28,0.28,1.1/0.28,10700/170
2024,4.32,1.7,0.9,0.6,0.6,0.3,4/1.2,10800/180,1.2,0.5,0.3,0.3,1.2/0.3,10800/180
2025,4.08 (annualized),1.3,0.7,0.5,0.5,0.3,3.4/1,10400/200,1.2 (annualized),0.4,0.3,0.2,1/0.25,10400/200
