year,import_value_billion_usd,china,australia,myanmar,eu,import_volume_kilotons,import_unit_price_usd_per_kg,export_value_billion_usd,export_eu,export_japan,export_china,export_volume_kilotons,export_unit_price_usd_per_kg
2016,1.2,0.8,0.2,0.1,0.05,15,8,0.2,0.08,0.06,0.03,2,10
2017,1.3,0.9,0.22,0.11,0.05,16,8.1,0.22,0.09,0.07,0.03,2.2,10
2018,1.4,1.0,0.25,0.12,0.06,17,8.2,0.25,0.10,0.08,0.04,2.5,10
2019,1.5,1.05,0.27,0.13,0.06,18,8.3,0.28,0.11,0.09,0.04,2.8,10
2020,1.5,1.0,0.3,0.1,0.05,18,8.3,0.3,0.12,0.09,0.05,3,10
2021,1.6,1.1,0.32,0.11,0.06,19,8.4,0.32,0.13,0.10,0.05,3.2,10
2022,1.8,1.25,0.35,0.13,0.07,22,8.2,0.35,0.14,0.11,0.06,3.5,10
2023,1.9,1.3,0.37,0.14,0.07,23,8.3,0.38,0.15,0.12,0.06,3.8,10
2024,2.0,1.4,0.4,0.15,0.05,25,8,0.4,0.16,0.12,0.06,4,10
2025,1.68 (annualized),0.8,0.3,0.2,0.05,21.6 (annualized),40,0.36 (annualized),0.12,0.09,0.04,3.6,42
