year,import_value_billion_usd,china,taiwan,malaysia,eu,japan,import_volume_100billion_units,import_unit_price_usd,export_value_billion_usd,export_china,export_eu,export_mexico,export_canada,export_volume_100billion_units,export_unit_price_usd
2016,250,100,50,40,30,20,400,0.63,300,120,60,40,30,500,0.60
2017,270,105,55,42,32,22,420,0.64,320,130,65,42,32,530,0.60
2018,290,110,60,45,35,23,440,0.66,340,140,70,45,35,560,0.61
2019,300,115,62,47,37,24,460,0.65,360,150,75,48,38,580,0.62
2020,280,110,60,45,35,20,450,0.62,350,140,70,50,40,550,0.64
2021,320,125,70,50,40,25,500,0.64,400,160,80,55,45,620,0.65
2022,340,130,72,52,42,26,520,0.65,420,165,85,58,48,640,0.66
2023,360,140,70,55,40,25,550,0.65,430,170,85,60,50,650,0.66
2024,370,145,72,57,42,26,560,0.66,440,175,87,62,52,670,0.66
2025,360 (annualized),110,60,50,35,20,540 (annualized),0.80,456 (annualized),150,75,50,40,660 (annualized),0.82
