year,export_value_billion_usd,export_to_china,export_to_eu,export_to_mexico,export_volume_million_tons,export_unit_price,import_value_billion_usd,import_from_brazil,import_from_canada,import_volume_million_tons,import_unit_price
2016,22.6,10.2,2.8,1.5,59,383,1.2,0.6,0.4,0.3,400
2017,24.0,11.0,3.0,1.6,60,400,1.3,0.7,0.4,0.32,406
2018,18.0,8.0,2.5,1.4,48,375,1.4,0.8,0.4,0.35,400
2019,16.0,7.0,2.8,1.5,46,348,1.5,0.8,0.5,0.38,395
2020,25.8,14.0,3.0,1.2,61,423,1.5,0.8,0.5,0.4,375
2021,26.0,14.2,3.2,1.3,62,419,1.6,0.9,0.5,0.42,381
2022,27.0,14.5,3.3,1.4,63,429,1.8,1.0,0.6,0.45,400
2023,25.0,13.0,3.2,1.3,58,431,1.9,1.0,0.7,0.48,396
2024,28.0,15.0,3.5,1.5,62,452,2.0,1.0,0.7,0.5,400
2025,25.2 (annualized),11.0,2.5,1.0,58 (annualized),520,1.9 (annualized),0.8,0.6,0.5 (annualized),475
