year,import_total_trillion_usd,export_total_trillion_usd,china_share,eu_share,mexico_share,notes
2016,2.19,1.45,21%,12%,14%,stable_growth
2017,2.34,1.55,21%,13%,15%,accelerating
2018,2.54,1.67,21%,13%,15%,trade_war_starts
2019,2.50,1.65,18%,14%,16%,trade_war_impact
2020,2.34,1.43,19%,13%,15%,covid_shock
2021,2.85,1.76,18%,12%,17%,strong_recovery
2022,3.27,2.06,16%,11%,18%,inflation_driven
2023,3.09,1.99,15%,11%,18%,supply_chain_shift
2024,3.36,2.01,15%,11%,18%,peak_year
2025,3.20 (annualized),1.90 (annualized),13%,10%,19%,tariff_shock
