year,industrial_production_index_2017_100,capacity_utilization_percent,manufacturing_employment_thousand,auto_employment_thousand,electronic_employment_thousand,machinery_employment_thousand,fixed_asset_investment_billion_usd,semiconductor_index_2017_100,auto_production_million_vehicles,steel_production_million_short_tons
2016,99.2,74.8,12348,935.3,1048.5,1075.2,2315.6,98.5,12.2,78.5
2017,100.0,75.5,12448,945.7,1052.3,1085.6,2450.2,100.0,11.2,81.6
2018,102.5,76.9,12691,959.1,1060.4,1102.8,2605.8,102.8,11.3,86.6
2019,101.5,75.9,12835,954.2,1065.7,1115.3,2750.4,101.2,10.9,87.8
2020,95.0,71.5,12178,870.6,1025.9,1050.4,2650.1,95.6,8.8,72.7
2021,99.8,76.2,12453,905.8,1040.2,1070.1,2850.7,100.5,9.2,85.8
2022,100.5,77.8,12762,950.4,1065.8,1105.7,3100.3,102.0,10.1,82.0
2023,99.2,76.5,12958,965.2,1080.5,1120.3,3250.9,103.5,10.6,80.9
2024,100.0,77.0,12991,970.1,1090.4,1125.6,3400.5,105.0,11.0,82.5
2025,100.5,76.8,13000,975.0,1100.0,1130.0,3550.0,108.0,11.7,86.0
