year,dxy,cny,brl,ars,eur,jpy,us2y,us5y,us10y,us30y,credit_spread_bbb_aaa,sp500,nasdaq,carz,smh,xli,erp
2016,95.7,6.64,3.49,14.8,0.90,108.8,0.83,1.37,1.84,2.60,0.45,2094,4737,32.5,57.0,54.5,4.50
2017,93.0,6.75,3.19,16.6,0.89,112.1,1.26,1.92,2.33,2.89,0.38,2449,6181,38.2,80.5,66.8,4.20
2018,95.1,6.62,3.65,28.1,0.85,110.4,2.52,2.76,2.91,3.11,0.42,2747,7138,37.4,89.3,69.2,4.80
2019,97.5,6.91,3.95,48.3,0.89,109.0,1.92,1.95,2.14,2.57,0.50,2914,7973,34.8,120.5,77.4,5.10
2020,93.4,6.90,5.16,70.5,0.88,106.8,0.38,0.53,0.89,1.45,0.85,3218,10462,45.6,175.2,79.8,5.50
2021,91.9,6.45,5.39,95.2,0.85,109.8,0.28,0.86,1.45,1.90,0.40,4273,14448,59.3,280.4,101.5,4.30
2022,108.2,6.73,5.16,130.6,0.95,131.5,2.95,3.00,2.95,3.02,0.55,4098,12041,50.1,210.3,98.5,5.20
2023,103.4,7.08,4.99,295.0,0.92,140.9,4.56,4.06,3.96,4.11,0.50,4168,13219,52.7,160.8,107.3,5.00
2024,102.5,7.10,5.00,850.0,0.93,151.5,4.41,4.13,4.08,4.35,0.45,5428,16920,58.4,240.5,125.0,5.50
2025,99.4,7.20,5.61,1324,0.89,148.9,3.95,3.95,4.07,4.45,0.60,6140,20143,75.0,350.7,153.7,7.86
